,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
89,SingleProof,prove,nargo,32,10,335617.6666666667,36309.7791969785,14075887616.0,10237937329.823404,4664016006.917486,2779350735.0607347,3861708262.583267,3251930472.913105,SingleProof,335.6176666666667,13423.8125,13.10919189453125,13.10919189453125,13.10919189453125,335.6176666666667,335.6176666666667
119,SingleProof,prove,noir_rs,32,10,302884.0,4327.807874663569,13178135381.333334,708190988.3418912,11099055711.34318,328429134.4487862,7174685126.713703,264053403.9449745,SingleProof,302.884,12567.649251302084,12.273094971974691,12.273094971974691,12.273094971974691,302.884,302.884
0,MultiProof,prove,nargo,16,1,8231.0,1638.5569871078637,849870848.0,524272076.81419796,526665244.7305586,267090742.1350638,163480042.79638013,103488086.03299713,MultiProof,8.231,810.5,0.79150390625,0.79150390625,0.79150390625,8.231,8.231
30,MultiProof,prove,noir_rs,16,1,23794.0,502.3435079703927,1267346090.6666667,7877660.507249463,811200193.0378661,11190233.345709236,515913494.2447154,6399301.475345298,MultiProof,23.794,1208.6354166666667,1.1803080240885417,1.1803080240885417,1.1803080240885417,23.794,23.794
1,MultiProof,prove,nargo,16,2,17610.333333333332,1774.8764276234372,1156431872.0,13797195.883045802,614612754.676945,128577281.5341753,204392319.96409371,47353517.31278753,MultiProof,17.610333333333333,1102.859375,1.0770111083984375,1.0770111083984375,1.0770111083984375,17.610333333333333,17.610333333333333
31,MultiProof,prove,noir_rs,16,2,46953.0,410.50700359433574,1246603946.6666667,15038667.64581352,795441679.4974111,14680060.922415372,505232800.17822725,6071770.905382958,MultiProof,46.953,1188.8541666666667,1.1609903971354167,1.1609903971354167,1.1609903971354167,46.953,46.953
2,MultiProof,prove,nargo,16,3,22120.666666666668,59.34082349726328,1108634282.6666667,21077755.454796,360504098.8358569,2914848.3728366653,105408809.61176841,1901742.9374445183,MultiProof,22.12066666666667,1057.2760416666667,1.0324961344401042,1.0324961344401042,1.0324961344401042,22.12066666666667,22.12066666666667
32,MultiProof,prove,noir_rs,16,3,70715.66666666667,268.6583952407488,1266494122.6666667,18158242.646313276,799158327.9664292,8268599.3156655235,509082985.5463228,2390051.349510883,MultiProof,70.71566666666668,1207.8229166666667,1.1795145670572917,1.1795145670572917,1.1795145670572917,70.71566666666668,70.71566666666668
3,MultiProof,prove,nargo,16,4,31457.666666666668,2898.0355990452103,1145378133.3333333,14668981.721643439,444146475.91476053,109564077.25103575,138455722.78252858,44204998.66086655,MultiProof,31.457666666666668,1092.3177083333333,1.0667165120442708,1.0667165120442708,1.0667165120442708,31.457666666666668,31.457666666666668
33,MultiProof,prove,noir_rs,16,4,95674.33333333333,2645.9845678562315,1257084245.3333333,11997410.77650695,791582965.4020194,14130800.892965285,508200931.47549397,1125121.392500481,MultiProof,95.67433333333332,1198.8489583333333,1.1707509358723958,1.1707509358723958,1.1707509358723958,95.67433333333332,95.67433333333332
4,MultiProof,prove,nargo,16,5,37597.333333333336,2996.00940140937,1138087253.3333333,43575663.12790465,403484339.80145127,101374946.26991062,121458877.15785928,38335765.31907552,MultiProof,37.59733333333334,1085.3645833333333,1.0599263509114583,1.0599263509114583,1.0599263509114583,37.59733333333334,37.59733333333334
34,MultiProof,prove,noir_rs,16,5,115090.33333333333,1094.0517964581643,1258187434.6666667,7680170.7557906145,796396985.7893008,5775457.73184364,509666457.3294218,2928920.6214489066,MultiProof,115.09033333333333,1199.9010416666667,1.1717783610026042,1.1717783610026042,1.1717783610026042,115.09033333333333,115.09033333333333
